title,author,genre,isbn,copies
Book 1,Isaac Asimov,Fiction,978393852073,9
Book 2,Isaac Asimov,History,978544563517,13
Book 3,Agatha Christie,Mystery,978902647891,15
Book 4,Yuval Noah Harari,Science,978896655537,20
Book 5,Stephen King,Mystery,978139714630,2
Book 6,J.K. Rowling,Programming,978758554461,20
Book 7,James Clear,Mystery,978802649844,10
Book 8,Agatha Christie,Fiction,978656637796,16
Book 9,Isaac Asimov,Fantasy,978801126964,15
Book 10,Isaac Asimov,History,978999195362,9
Book 11,J.K. Rowling,Programming,978588056343,19
Book 12,Stephen King,Mystery,978830369151,18
Book 13,Agatha Christie,Fiction,978669623301,15
Book 14,Robert Martin,Mystery,978723036371,19
Book 15,Yuval Noah Harari,Mystery,978153148069,1
Book 16,Stephen King,Fiction,978902816922,10
Book 17,Mark Twain,History,978745579655,12
Book 18,Yuval Noah Harari,Biography,978213148867,7
Book 19,J.K. Rowling,Fiction,978842852296,19
Book 20,Isaac Asimov,Programming,978892745810,6
Book 21,J.K. Rowling,Science,978427922179,15
Book 22,Mark Twain,Science,978333703369,7
Book 23,Mark Twain,Science,978358395202,9
Book 24,Yuval Noah Harari,Mystery,978471573622,16
Book 25,James Clear,Self-help,978245512503,4
Book 26,James Clear,Programming,978394859228,6
Book 27,Yuval Noah Harari,History,978768498397,19
Book 28,Yuval Noah Harari,Programming,978847459342,4
Book 29,Isaac Asimov,Fiction,978546356235,4
Book 30,Stephen King,Mystery,978680824090,20
Book 31,James Clear,Self-help,978146766175,10
Book 32,James Clear,Fiction,978374465595,6
Book 33,James Clear,Science,978241828787,11
Book 34,James Clear,Fiction,978714294566,11
Book 35,Mark Twain,Biography,978795935172,16
Book 36,Agatha Christie,Programming,978747484217,9
Book 37,Stephen King,Fantasy,978292590802,5
Book 38,Yuval Noah Harari,Fiction,978853125089,17
Book 39,Robert Martin,Fiction,978731213186,18
Book 40,Stephen King,Fantasy,978693385266,13
Book 41,Isaac Asimov,Fiction,978408183107,3
Book 42,Mark Twain,Science,978246630092,14
Book 43,Robert Martin,History,978427622657,6
Book 44,Agatha Christie,Biography,978391757892,1
Book 45,Mark Twain,Fiction,978563233672,5
Book 46,Mark Twain,Fantasy,978755259273,13
Book 47,J.K. Rowling,Fiction,978281640627,12
Book 48,Mark Twain,Mystery,978767171566,18
Book 49,Yuval Noah Harari,Mystery,978406816226,8
Book 50,Agatha Christie,Fantasy,978586051006,19
Book 51,Yuval Noah Harari,Mystery,978105894088,11
Book 52,Isaac Asimov,Science,978402796157,20
Book 53,Stephen King,Mystery,978468461309,13
Book 54,Mark Twain,Programming,978118963836,12
Book 55,Yuval Noah Harari,Fantasy,978624502911,2
Book 56,Robert Martin,Fantasy,978101707473,2
Book 57,James Clear,Mystery,978203109271,11
Book 58,Mark Twain,History,978216155234,9
Book 59,J.K. Rowling,Self-help,978818936306,8
Book 60,Stephen King,Biography,978787208964,1
Book 61,Robert Martin,Fiction,978848381706,16
Book 62,Robert Martin,Mystery,978830684715,1
Book 63,Stephen King,Programming,978771303654,16
